번호	recipeName	ingredients
18	버섯 두유 소스 볶음	버섯볶음 새송이버섯 올리브유  두유 소스 두유  생크림  청양고추 후추 곁들임 새싹채소
19	백일송이버섯 볶음	백일송이버섯볶음 백일송이버섯 파프리카 파프리카 카놀라유 
21	땅콩소스 버섯가지나물	가지 새송이버섯 표고버섯 땅콩 소스 땅콩가루 참기름 저염간장
28	새우 두부 계란찜	새우두부계란찜 연두부  칵테일새우 달걀 생크림  설탕  무염버터  고명 시금치 줄기
29	부추 콩가루 찜	조선부추 날콩가루  양념장 저염간장  대파  마늘 고춧가루  요리당  참기름  참깨
31	방울토마토 소박이	방울토마토 소박이 방울토마토 양파 부추 줄기 양념장 고춧가루  멸치액젓  마늘 매실액  설탕  물  통깨
32	순두부 사과 소스 오이무침	오이무침 오이 땅콩  순두부사과 소스 순두부 사과
33	사과 새우 북엇국	북엇국 북어채 새우 사과 양파 표고버섯 물 
36	저염 된장으로 맛을 낸 황태해장국	황태해장국 황태채 콩나물 무 저염된장  물  청양고추 마늘 
37	된장국	된장국 두부 애느타리버섯 가닥 감자 양파 대파 된장  물 
38	표고버섯 청경채국	멸치육수 국물용 멸치 다시마 양파 표고버섯 기둥 국간장  물  채소준비 청경채 표고버섯 마늘 
39	청국장 두부 검은깨 냉스프	냉스프 두부  플레인요거트 검은깨  고명 청국장가루 
40	호박 고구마 스프	호박고구마스프 고구마 단호박 우유 설탕  물
62	불고기 소스를 곁들인 두부구이	두부구이 두부  전분  흑임자  식용유  후추 불고기 양념 간장  올리고당  생강즙  물 
74	돌나물 샐러드	돌나물 샐러드 돌나물 미니새송이버섯 참기름 레몬마요네즈 소스 마요네즈  레몬즙  청양고추 홍고추 참기름
77	마늘드레싱을 곁들인 키위샐러드	키위샐러드 키위 방울토마토 양상추 아몬드  땅콩  무순 마늘 드레싱 사과식초  설탕  물 마늘 
78	깻잎향을 입힌 관자 샐러드	돌나물 깻잎 관자 식용 꽃 올리브유 석류 원액 레시틴가루
82	건강그린 샐러드와 고소한 두유드레싱	건강그린 샐러드 양상추 치커리 줄기 레드치커리 줄기 방울토마토 파프리카  두유 드레싱 두유  마요네즈  물엿  식초  물  설탕
85	케일 오미자 샐러드	케일 샐러드 보라로즈케일 흰로즈케일 케일 오미자 드레싱 오미자물 요리당  식초 
87	스트로베리 샐러드	스트로베리 샐러드 딸기 플레인요거트 양상추 메추리 블루베리  식초
89	시금치 우유 소스와 그린매쉬드포테이토	그린매쉬드포테이토 감자 시금치우유 소스  아몬드  설탕  크랜베리 치커리 시금치우유 소스 시금치 우유 
91	버섯구이와 두부타르타르 소스	버섯구이 새송이버섯 올리브유  곁들임 치커리 줄기 두부타르타르 소스 연두부  양파  오이피클  올리브유  식초  레몬즙  머스터드  꿀 후추
93	구운채소와 간장레몬 소스	구운채소 가지 호박 새송이버섯 양파 발사믹크레마 파프리카 파프리카 청피망 올리브유 간장 레몬 소스 저염간장  식초  설탕  레몬즙 
94	브로콜리 컬리플라워 샐러드와 두유 요거트 소스	브로콜리컬리플라워 샐러드 브로콜리 송이 컬리플라워 송이 적양파 강낭콩  건포도  호두  두유요거트 소스 두유  플레인요거트  레몬즙  설탕
